Evaluation: 

Model - (1, 'severe_toxic', 'other'):		28.5	68.3	82.8	26.3	49.2	29.1	36.5	7.0	2.8	39.6	65.5	62.6	14.1	36.7	67.6	11.4	54.4
Model - (2, 'hate_speech', 'neither'):		36.3	97.7	82.4	25.5	49.6	29.1	50.6	1.7	2.9	43.3	69.0	67.5	14.6	39.9	61.8	14.0	55.6
Model - (7, 'abusive', 'normal'):		12.3	56.8	87.6	29.7	63.0	39.1	31.6	10.5	3.0	42.8	45.9	43.9	14.7	40.5	73.0	4.4	42.0
Model - (17, 'covertly-aggressive', 'non-aggressive'):		13.9	35.1	30.8	90.2	33.8	30.3	25.6	0.9	2.3	21.5	32.3	34.5	6.8	8.5	33.4	4.6	24.5
Model - (15, 'offensive', 'non-offensive'):		5.1	54.7	80.9	38.2	82.2	48.2	26.1	8.2	3.0	43.5	24.9	23.7	14.6	39.7	73.4	1.8	37.1
Model - (29, 'sexism', 'none'):		4.3	53.8	46.4	33.5	42.8	88.6	30.3	10.4	2.8	39.9	16.0	15.8	13.5	32.5	35.9	1.1	27.5
Model - (6, 'cyberbullying', 'none'):		4.9	48.8	58.8	27.7	51.0	48.3	33.8	30.5	3.0	41.1	22.1	21.6	14.8	41.4	57.7	1.7	28.9
Model - (18, 'spam', 'normal'):		1.1	14.6	27.4	10.1	19.7	13.9	6.4	53.9	2.7	18.5	5.1	4.3	12.5	28.0	23.8	0.3	13.2
Model - (9, 'religious', 'none'):		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Model - (19, 'harrasment', 'non-harrasment'):		37.4	69.8	36.7	15.7	32.2	20.2	40.2	3.7	2.9	75.4	54.2	55.8	13.5	33.7	29.6	18.0	44.1
Model - (1, 'obscene', 'other'):		1.9	40.7	50.2	22.4	49.6	41.6	11.5	31.0	3.0	41.2	10.8	10.2	14.9	41.7	72.5	0.7	27.1
Model - (1, 'insult', 'other'):		2.1	41.3	50.7	25.3	50.1	42.4	11.5	30.5	3.0	41.4	11.5	10.8	14.9	41.7	72.3	0.7	27.5
Model - (9, 'homophobic', 'none'):		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Model - (9, 'racist', 'none'):		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Model - (27, 'vulgar', 'non-vulgar'):		4.9	59.4	72.4	37.1	56.8	43.2	26.1	4.0	3.0	41.5	23.5	23.1	13.8	33.4	97.2	1.7	38.5
Model - (1, 'threat', 'other'):		3.5	50.6	62.9	28.3	49.5	38.8	14.5	17.8	2.9	41.4	17.2	16.0	14.1	36.7	70.4	1.3	34.6
Model - (3, 'profane', 'none'):		65.4	72.7	86.3	6.5	29.4	13.0	46.1	1.3	2.7	32.0	75.6	70.7	13.4	32.9	56.3	26.3	82.8
